Alert ID,Version No.,Time Type,Image URL,Mode,Effect,Affecting,Cause,Severity,Effect Start,Effect End,Recurrence Start,Recurrence End,Recurrence Start Time,Recurrence End Time,Recurrence Days,Notification From,Notification Until,Header,Note Text,Note Last Modified,Note Last Modified By,Accessibility Information,Send via PA/ESS,PA/ESS,T-Alert Sent to Subscribers,Send to Twitter,Set as Website Banner,Website Banner Text,URL,Additional Information,Last Modified By,Last Modified Date,Closed,Reminders,PCF,Planned Disruption,Send T-Alert on close,Send T-Alert on edit,Text-To-Speech Message Text,Text-To-Speech Description Text
414936,1,One-time,,Bus,Stop Closure,69; Cambridge St opp Fayette St,construction,up to 20 minutes,2021-11-01T04:30,2021-11-13T02:30,,,,,,2021-10-29T11:44:59.517,2021-11-13T02:30,"The stop at Cambridge St opp Fayette St will be closed from Nov 1 - 12, for construction. Customers can use the stops at Cambridge St @ Cambridge Hospital, Cambridge St @ Camelia Ave, and Cambridge St. @ Springfield St.",,,,,False,,True,False,False,,,,eryk.rotondo,2021-10-29T11:45:01.097,False,,current,,False,True,,
414936,2,One-time,,Bus,Stop Closure,69; Cambridge St opp Fayette St,construction,up to 20 minutes,2021-11-01T04:30,2021-11-13T02:30,,,,,,2021-10-29T11:44:59.517,2021-11-13T02:30,"The stop at Cambridge St opp Fayette St will be closed through Nov 12, for construction. Customers can use the stops at Cambridge St @ Cambridge Hospital, Cambridge St @ Camelia Ave, and Cambridge St. @ Springfield St.",,,,,False,,False,False,False,,,"Affected routes:
69",eryk.rotondo,2021-11-04T05:33:28.197,False,,current,,False,True,,
414936,3,One-time,,Bus,Stop Closure,,construction,up to 20 minutes,2021-11-01T04:30,2021-11-13T02:30,,,,,,2021-10-29T11:44:59.517,2021-11-13T02:30,"The stop at Cambridge St opp Fayette St will be closed through Nov 12, for construction. Customers can use the stops at Cambridge St @ Cambridge Hospital, Cambridge St @ Camelia Ave, and Cambridge St. @ Springfield St.",,,,,False,,False,False,False,,,"Affected routes:
69",expiry,2021-11-13T02:30:20.703,True,,past,,False,True,,
427545,1,One-time,,Bus,Stop Closure,1; Massachusetts Ave @ Prospect St,,up to 20 minutes,2022-01-24T04:30,2022-01-25T02:30,,,,,,2022-01-19T05:54:38.440,2022-01-25T02:30,"The stop at Massachusetts Ave @ Prospect St will be closed all day on Mon, Jan 24, while the city of Cambridge does work on the bus shelter. Riders can use a temporary stop located on the far-side of Prospect Street, between Prospect and Temple.",,,,,False,,False,False,False,,,,eryk.rotondo,2022-01-19T05:54:46.910,False,,current,,False,True,,
427545,2,One-time,,Bus,Stop Closure,1; Massachusetts Ave @ Prospect St,,up to 20 minutes,2022-01-24T04:30,2022-01-25T02:30,,,,,,2022-01-19T05:54:38.440,2022-01-25T02:30,"The stop at Massachusetts Ave @ Prospect St will be closed all day on Mon, Jan 24, while the city of Cambridge does work on the bus shelter. Riders can use a temporary stop located on the far-side of Prospect Street, between Prospect and Temple.",,,,,False,,False,False,False,,,,autotimeframeupdate,2022-01-23T04:30:17.003,False,,current,,False,True,,
427545,3,One-time,,Bus,Stop Closure,1; Massachusetts Ave @ Prospect St,,up to 20 minutes,2022-01-24T04:30,2022-01-25T02:30,,,,,,2022-01-19T05:54:38.440,2022-01-25T02:30,"The stop at Massachusetts Ave @ Prospect St will be closed all day on Mon, Jan 24, while the city of Cambridge does work on the bus shelter. Riders can use a temporary stop located on the far-side of Prospect Street, between Prospect and Temple.",,,,,False,,False,False,False,,,,autotimeframeupdate,2022-01-24T04:00:16.340,False,,current,,False,True,,
427545,4,One-time,,Bus,Stop Closure,1; Massachusetts Ave @ Prospect St,,up to 20 minutes,2022-01-24T04:30,2022-01-25T02:30,,,,,,2022-01-19T05:54:38.440,2022-01-25T02:30,"The stop at Massachusetts Ave @ Prospect St will be closed all day on Mon, Jan 24, while the city of Cambridge does work on the bus shelter. Riders can use a temporary stop located on the far-side of Prospect Street, between Prospect and Temple.",,,,,False,,False,False,False,,,,autotimeframeupdate,2022-01-24T04:30:15.723,False,,current,,False,True,,
427545,5,One-time,,Bus,Stop Closure,,,up to 20 minutes,2022-01-24T04:30,2022-01-25T02:30,,,,,,2022-01-19T05:54:38.440,2022-01-25T02:30,"The stop at Massachusetts Ave @ Prospect St will be closed all day on Mon, Jan 24, while the city of Cambridge does work on the bus shelter. Riders can use a temporary stop located on the far-side of Prospect Street, between Prospect and Temple.",,,,,False,,False,False,False,,,,expiry,2022-01-25T02:30:16.337,True,,past,,False,True,,
428678,1,One-time,,Bus,Stop Closure,85; Summer St @ Vinal Ave,,information,2022-02-04T06:30,2022-02-04T16:00,,,,,,2022-01-28T15:31:51.157,2022-02-04T16:00,Route 85 stop Summer St @ Vinal Ave closed on Fri 2/4 from 6:30 AM to 4:00 PM. Use Summer St @ School St or 51 Bow St as alternates. ,,,,,False,,True,False,False,,,"Affected routes:
85",nicholas.tomkavage,2022-01-28T15:31:59.737,False,,current,,False,True,,
428678,2,One-time,,Bus,Stop Closure,85; Summer St @ Vinal Ave,,information,2022-02-04T06:30,2022-02-04T16:00,,,,,,2022-01-28T15:31:51.157,2022-02-04T16:00,Route 85 stop Summer St @ Vinal Ave closed on Fri 2/4 from 6:30 AM to 4:00 PM. Use Summer St @ School St or 51 Bow St as alternates. ,,,,,False,,False,False,False,,,"Affected routes:
85",autotimeframeupdate,2022-01-29T04:30:17.337,False,,current,,False,True,,
428678,3,One-time,,Bus,Stop Closure,85; Summer St @ Vinal Ave,,information,2022-02-04T06:30,2022-02-04T16:00,,,,,,2022-01-28T15:31:51.157,2022-02-04T16:00,Route 85 stop Summer St @ Vinal Ave closed on Fri 2/4 from 6:30 AM to 4:00 PM. Use Summer St @ School St or 51 Bow St as alternates. ,,,,,False,,False,False,False,,,"Affected routes:
85",autotimeframeupdate,2022-02-03T04:30:15.813,False,,current,,False,True,,
428678,4,One-time,,Bus,Stop Closure,85; Summer St @ Vinal Ave,,information,2022-02-11T06:30,2022-02-11T16:00,,,,,,2022-01-28T15:31:51.157,2022-02-11T16:00,Route 85 stop Summer St @ Vinal Ave closed on Fri 2/11 from 6:30 AM to 4:00 PM. Use Summer St @ School St or 51 Bow St as alternates.,,,,,False,,True,False,False,,,"Affected routes:
85",nicholas.tomkavage,2022-02-03T19:53:11.357,False,,current,,False,True,,
428678,5,One-time,,Bus,Stop Closure,85; Summer St @ Vinal Ave,,information,2022-02-11T06:30,2022-02-11T16:00,,,,,,2022-01-28T15:31:51.157,2022-02-11T16:00,Route 85 stop Summer St @ Vinal Ave closed on Fri 2/11 from 6:30 AM to 4:00 PM. Use Summer St @ School St or 51 Bow St as alternates.,,,,,False,,False,False,False,,,"Affected routes:
85",autotimeframeupdate,2022-02-05T04:30:15.597,False,,current,,False,True,,
428678,6,One-time,,Bus,Stop Closure,85; Summer St @ Vinal Ave,,information,2022-02-11T06:30,2022-02-11T16:00,,,,,,2022-01-28T15:31:51.157,2022-02-11T16:00,Route 85 stop Summer St @ Vinal Ave closed on Fri 2/11 from 6:30 AM to 4:00 PM. Use Summer St @ School St or 51 Bow St as alternates.,,,,,False,,False,False,False,,,"Affected routes:
85",autotimeframeupdate,2022-02-10T04:30:16.687,False,,current,,False,True,,
